combination,learning_rate,batch_size,epochs,val_score,simulated_f1,combined_score,final_val_loss,convergence_metric
1,1e-06,4,300,-0.16672713,0.83307445,0.13321337,0.10617655018965404,0.13321337
2,1e-06,4,400,-0.1733987,0.8210985,0.12495047,0.11060365041097005,0.12495047
3,1e-06,4,500,-0.17359461,0.8483118,0.1329773,0.11084188024202983,0.1329773
4,1e-06,8,300,-0.17809276,0.8152021,0.11989571,0.11892904713749886,0.11989571
5,1e-06,8,400,-0.18513225,0.8216963,0.11691633,0.12303301319479942,0.11691633
6,1e-06,8,500,-0.17119762,0.8162845,0.12504703,0.113876823335886,0.12504703
7,1e-06,12,300,-0.16620594,0.83025056,0.13273102,0.10038657486438751,0.13273102
8,1e-06,12,400,-0.17391668,0.81659496,0.12323683,0.10368794947862625,0.12323683
9,1e-06,12,500,-0.18978879,0.8213382,0.11354931,0.11333214491605759,0.11354931
10,1e-06,16,300,-0.17410792,0.82639533,0.12604305,0.10475017130374908,0.12604305
11,1e-06,16,400,-0.17883825,0.8071981,0.11697267,0.10670934617519379,0.11697267
12,1e-06,16,500,-0.17608905,0.83946025,0.12857576,0.1065831184387207,0.12857576
13,5e-06,4,300,-0.120174885,0.8148765,0.16034053,0.07608343412478764,0.16034053
14,5e-06,4,400,-0.13968858,0.81692195,0.14729458,0.08927497019370396,0.14729458
15,5e-06,4,500,-0.12799974,0.79729354,0.14958826,0.0817708745598793,0.14958826
16,5e-06,8,300,-0.15911841,0.8467213,0.14263351,0.10619248822331429,0.14263351
17,5e-06,8,400,-0.12145964,0.818482,0.16052285,0.07871497794985771,0.16052285
18,5e-06,8,500,-0.1546022,0.82035047,0.1378836,0.1032315194606781,0.1378836
19,5e-06,12,300,-0.15874523,0.82263434,0.13566864,0.09535270184278488,0.13566864
20,5e-06,12,400,-0.16284657,0.84011745,0.13804266,0.09894781559705734,0.13804266
21,5e-06,12,500,-0.17662309,0.80868673,0.118969865,0.1058349609375,0.118969865
22,5e-06,16,300,-0.17561632,0.8223618,0.12377713,0.1049865186214447,0.12377713
23,5e-06,16,400,-0.15913823,0.8424885,0.14134982,0.09642135351896286,0.14134982
24,5e-06,16,500,-0.1658906,0.83336484,0.13388605,0.10062343627214432,0.13388605
25,1e-05,4,300,-0.12251134,0.8091055,0.15697372,0.07744117577870686,0.15697372
26,1e-05,4,400,-0.09607181,0.78508556,0.16827542,0.0593709722161293,0.16827542
27,1e-05,4,500,-0.10697877,0.81213725,0.16875604,0.06693284834424655,0.16875604
28,1e-05,8,300,-0.13131419,0.8116466,0.15157406,0.08657649531960487,0.15157406
29,1e-05,8,400,-0.10159561,0.7732589,0.16086076,0.06388360634446144,0.16086076
30,1e-05,8,500,-0.11903052,0.81529474,0.16126707,0.0790698453783989,0.16126707
31,1e-05,12,300,-0.12400837,0.8132279,0.15716252,0.0746941789984703,0.15716252
32,1e-05,12,400,-0.17501843,0.8235179,0.12454248,0.10497041046619415,0.12454248
33,1e-05,12,500,-0.11187626,0.80579233,0.16342433,0.06657771021127701,0.16342433
34,1e-05,16,300,-0.17409442,0.830024,0.12714112,0.10470332950353622,0.12714112
35,1e-05,16,400,-0.16790292,0.8301737,0.13152006,0.10099811106920242,0.13152006
36,1e-05,16,500,-0.0969511,0.7747317,0.16455376,0.055884819477796555,0.16455376
37,5e-05,4,300,-0.0984945,0.76261973,0.15983978,0.06026643514633179,0.15983978
38,5e-05,4,400,-0.09066866,0.78540325,0.17215294,0.05492384607593218,0.17215294
